review_id,pre
L31_NlHMa4cE1k6mKSljnA,1.0
QxG1rRwerhXNeWwbXIH6SA,5.0
i3Nf0rtFr1zqnYgK6BqLpg,5.0
3Ntq_8Y4iRWYESM-TWd3wQ,5.0
OnBznmGeu8Ogbfn7dNiE2g,3.0
M11U31Gan6dIZZYg6-Ze-w,5.0
Rp-6knCJw0Kg6AWT_P3Vww,5.0
SUDEpf9R8q9LY53McbHavA,5.0
1nYA8AhG3HOP8hygEQxBSg,5.0
hJfOcz-3ApppVgkediZTUQ,5.0
X3GcT9nhiORg37_RViauCg,2.0
yCo7VJ0JcboInS29LTFzDw,5.0
GH-uDrRfrlcsqTGGEzcOMg,3.0
dKM2tlQxLHDooSF_CPbZzw,5.0
2TKhXfG6uG_7a8KapmC9VA,5.0
CpykPnUSt-s-RIqV_P1swg,5.0
1ZlmKukK-JFMp5BoMOIFZA,5.0
BrRUhJImS20TVrheJdyvwA,5.0
mBi2O42fVW9paxssAzLwkA,4.0
RBdtdpNgTjNSzCeBi7By8A,1.0
Hy034zzso3v9KgEA25P1pA,1.0
UxFlqnO2vVKd_P88yB1N_A,2.0
GGSOhwhydBHucqlONgR3lg,5.0
i1pt0StmFiTo8PB8BFja9A,1.0
MnbD4fL3GpCi-a_Y1qYzng,1.0
jTC-pjAT2r--lShp781ouw,5.0
FVu9tuSe6I_y7muK99vCvw,5.0
Br3cOHP-ldRxDW2WM7K1gw,4.0
SrC64qm3k_egL2uirCD5Bg,5.0
E4FWdyVZYbfZzqS6IA38Bg,1.0
r3rlaMWkGve405g9XtJhmA,1.0
3coJl1f-4n4_y_cO1rpiPA,4.0
_k0ZMonR9Nh16bZETQXsmw,5.0
xquZHniMvR4CX7czWwvMHg,5.0
R1mZFmAst-o_4FUwoqG72w,3.0
GktqrOf33Vv7kjVdHSuFHQ,1.0
6G2lX6dyp4Pa-xOboki_qQ,5.0
s22t3HHV6oXmG89_umG5Cw,4.0
EeYOGhKP7c3MDLYI2VKPgg,3.0
UxISakkRvcFmbzHSgStK2g,5.0
DtG-OxKg6y5IUXXiL2CjPg,1.0
aeLvNVtgC1Il8ACqOu9YVw,1.0
iKnJf4yDS3st__Xyd_lMzg,2.0
Lmu_PfD83ml8SlFa4u7Xcw,3.0
fB0Jbd_xz8SBZscXW4ciBg,4.0
apqq8fwbA1qv6wR0iSSytg,4.0
m91VJz-jWMmBwZcE9sM1Cg,5.0
lgfPOs4gbw6bnHITBqPUjw,1.0
Bwg25oh72L-YUb2AYphtLQ,5.0
Dg6Qf6Mv9XpZBoJhUPbdtA,4.0
zGPJoBMgK8bv0BznfJFhyw,5.0
Al59BoCpmqrjZKTOjp4RYg,1.0
tHTzGSeISMCoJZUS2iVoRQ,4.0
X5bjmP7iBweB436bsw-tIg,5.0
Uk823uJikrKfoU96lKGiGg,5.0
DcmV_qnBr7SZdhloxOWaMQ,5.0
k2ZtHQGoglfuQ7ySvXC2EA,5.0
e6z3pJM-LV_EOD7P4fGcpg,5.0
23yQRTnudrV8DCDeHdnVxg,1.0
6OqjHZmsYDtQ9vvF4iETEA,5.0
ilGr09NQ-UQ40Ds8JiQ0ag,2.0
YXxpfgSfJVFVXyn-03Tohg,3.0
FrUjxGy1EgLWrf9wtqFgsg,1.0
tfTQLKcEa43LMvtDsGMMAw,3.0
3_F3Eowbr00nL2tF4FVlfw,4.0
g1m-XOFec652LAwNsEVbGA,4.0
PEZtlx8cUMX_ZMVTFArdvQ,1.0
YwV7JhkwHkERMhoT-Sq_nw,1.0
pgiL7kLgnUDS6sePNJn_NQ,3.0
npyhzfImNS8aKWlHOF-Bqw,5.0
LvMaUJ03TDxrs45DllI0RQ,5.0
iIxeqdUj7YSfu6K0-KhK1w,5.0
07A7KaXz-WUnx6XoMQoNWw,5.0
gabfhp0-myhdA7EOjnQ8WQ,2.0
0FD-bdO5EJYThfYdlOGW7w,3.0
WDbXThlibyxQQtAIfntxdA,3.0
ELN09zzBUmSHW4JpD2HvnQ,4.0
k30k28wgmPHkJ-A5fdtKaQ,2.0
toqzO1KtZRXgLxB0AihHbA,4.0
6DMTbVOuTTUKwm62feX02g,5.0
yzHOTQr2Z-ywqDhiT_ytcQ,5.0
UyORI0H4RtzTBI_HaoxIxg,5.0
LWnMtXBJlOrZFQ7qCtkidQ,4.0
MDwH_hBorX_GbOGHGL1MBg,5.0
MosLnQYVfDU-oYFW5zP0rQ,1.0
lcbTJMDtGccTLwsZUCv9Kw,4.0
2U6pW3yuMG-XJGK7_8nGfw,5.0
i4flHgz9ZklsSsP8dTAnCA,5.0
CvIrrffW95Q5fyeVy0k67A,5.0
UwKunsSVqtc1EkusE1CgxQ,5.0
1u_C3rld7p-SA3cPF1PNpw,4.0
ozKOJdMlDulnXEgMqD6TOg,1.0
jHjGFcZY2xvSDFZsk9ZC7Q,5.0
tIiGfSHNkC7LkwVQLI9qTA,4.0
by-e1XCvDhToDMbsHlyD0w,5.0
nIFH_zJOpFlo7O7xasKWGg,5.0
gMoNG-TzbiT9giI5zg1Wfg,2.0
Ue7ruo6eGygUrDK6W2Kacg,5.0
jen5fvwZLKAak6XUq8tKOA,3.0
malVyPlisK8GeNYSB3p7mw,5.0
0PIo0QHgjTwBYXnKRSde5A,1.0
qtIU0xmi_DbQsgtfOdYKOg,5.0
Z4M4Q4uG2f_byxGAYTJA-A,5.0
pIo0T9HdEhYD0trPKTPcsA,5.0
Dd7L6BpSpOr86_OeHkkhhg,5.0
VVwdLQI1MXwG6CvGlQ1UaA,5.0
kw8jZnMem7p3Zl3r6602dQ,5.0
IwuZh_tJkTShKS-bQYDO-A,1.0
jw374CZCjGeTHAbIoAeelw,5.0
EWimk9a1fq0DY0RsjozpNw,5.0
7ZT6BpixZ7tJGmBe4eiU5g,1.0
7IdlnWAaE1I1l4H4i556Hg,2.0
du4eYGYsNqf5ZJmiCdEzlw,1.0
1WCbzR6SgKfAcei7VyRwVA,5.0
TefyUBebReAY_Kl_vK8SUQ,5.0
b06xcKryFjEKKwOXKS3oqA,5.0
zktaRrD3_r-FxMW4y4jZhg,5.0
Kc4lkZaZDDj-HzH87A5dvA,1.0
LcHjIEuLqJoH6_sFK9wfhA,3.0
Hz1KWfjSIpgGi--SM8jWDQ,5.0
cBZfb36Ap1bu3Q4tcnls7A,1.0
Jr-0Xoko9rOUAaIDQIR6Mg,4.0
3hA7-y2aomq-peluV9g_Ew,5.0
UDOlY4RZYp-Ag3zIRn-azQ,5.0
vZwhxMvSYdpF-nJbcOqJEw,5.0
6gr_iMp8O_6psr2pXJ-sqQ,5.0
_VHsH52bXHb5s_OwnmegtQ,5.0
caS6Vqcphs8zkRF25IF0IQ,3.0
XUrCvYS-GK8iH-mcquZktw,5.0
uGv5K1g-C_XlS49g1Ewf9A,4.0
6bEi6534MF5ylofGVEYrAA,5.0
AVmy9d0ZFUE6GQZ2ozwWpA,4.0
-ASOHlbusHr5TRjkmRBWgg,5.0
jxDVTom2Un14icBzL_9vyA,5.0
eBbXAs2gytSi77GS6K-UFg,4.0
O6CJ_oolCVPvBDOAVVDRSQ,3.0
wzBBfLL5F1WmWL0ZFPMTdw,5.0
Hl6I3TLtBmolSnCOc_rVUA,1.0
Fr8qAktcDqZTO4N692PCTg,3.0
7zPwOKBx5XQoiNecu117xg,5.0
pR2rpyu1mjEGKKx_9PItAA,5.0
3NW4W3NRLGKd4VMcjnIHfg,3.0
gLqQ406x8Ko4N5_OsIXQkw,5.0
TdPkF_0OzXSjAty04hI5rw,1.0
5QFCvx0qy9Bawt4LGz41Kg,5.0
HJwWqYzt1eOZFYCEWVRtzw,3.0
LB_gZ_h1t9TLoz1ZsZIQyQ,5.0
